	title	link	salary_minimal	salary_maximal	normal_salary	source
0	Python developer	https://orenburg.hh.ru/vacancy/48331830				hh.ru
1	Разработчик Python	https://orenburg.hh.ru/vacancy/51801847				hh.ru
2	Backend разработчик Python (Middle/Senior)	https://orenburg.hh.ru/vacancy/51843770	500.0	1500.0	USD	hh.ru
3	Backend Python Developer	https://orenburg.hh.ru/vacancy/51262245				hh.ru
4	Data engineer (аналитик данных)	https://orenburg.hh.ru/vacancy/50710446				hh.ru
5	Cтажёр-разработчик автоматизированных тестов	https://orenburg.hh.ru/vacancy/51721151				hh.ru
6	Аналитик данных	https://orenburg.hh.ru/vacancy/49548884				hh.ru
7	Data Scientist (команда Поиска)	https://orenburg.hh.ru/vacancy/46048820				hh.ru
8	Аналитик направления цифрового маркетинга (BI\SQL\Python)	https://orenburg.hh.ru/vacancy/49881796	170000.0	210000.0	руб.	hh.ru
9	Data Scientist	https://orenburg.hh.ru/vacancy/50584852				hh.ru
10	Data Engineer	https://orenburg.hh.ru/vacancy/51247666				hh.ru
11	Data Scientist	https://orenburg.hh.ru/vacancy/50699017				hh.ru
12	Data - инженер	https://orenburg.hh.ru/vacancy/48927705				hh.ru
13	Data Scientist в Отдел Аудита Розничного Бизнеса	https://orenburg.hh.ru/vacancy/51036434				hh.ru
14	Аналитик данных	https://orenburg.hh.ru/vacancy/46241509				hh.ru
15	Ведущий аналитик данных / Senior data analyst	https://orenburg.hh.ru/vacancy/51711011				hh.ru
16	Разработчик отчетности/Аналитик данных	https://orenburg.hh.ru/vacancy/48328351				hh.ru
17	Data Engineer в Отдел развития и поддержки	https://orenburg.hh.ru/vacancy/50605855				hh.ru
18	Founding Data scientist / Machine Learning Engineer	https://orenburg.hh.ru/vacancy/51448522		500000.0	руб.	hh.ru
19	Python Developer	https://orenburg.hh.ru/vacancy/51503056				hh.ru
20	Data Scientist	https://orenburg.hh.ru/vacancy/51774139	1000.0	3000.0	USD	hh.ru
21	Разработчик бэкэнд (Python)	https://orenburg.hh.ru/vacancy/50789689	100000.0	150000.0	руб.	hh.ru
22	Data Scientist	https://orenburg.hh.ru/vacancy/51045137	1000.0	1500.0	EUR	hh.ru
23	Junior Python разработчик	https://orenburg.hh.ru/vacancy/51638670		50000.0	руб.	hh.ru
24	Разработчик Python	https://orenburg.hh.ru/vacancy/49648908		200000.0	руб.	hh.ru
25	Разработчик алгоритмов глубокого машинного обучения (ML; нейронные сети)	https://orenburg.hh.ru/vacancy/51414900	200000.0	300000.0	руб.	hh.ru
26	Разработчик Python (parsing)	https://orenburg.hh.ru/vacancy/50934911		1000.0	EUR	hh.ru
27	Python Developer	https://orenburg.hh.ru/vacancy/50968793	135000.0	187000.0	руб.	hh.ru
28	Python Developer	https://orenburg.hh.ru/vacancy/51279146	120000.0	150000.0	руб.	hh.ru
29	Python Developer с интересом к Machine Learning	https://orenburg.hh.ru/vacancy/51258131				hh.ru
30	Python разработчик	https://orenburg.hh.ru/vacancy/51699580				hh.ru
31	Backend-разработчик (Python)	https://orenburg.hh.ru/vacancy/50841709	400000.0	900000.0	KZT	hh.ru
32	Fullstack Python разработчик	https://orenburg.hh.ru/vacancy/51856073		120000.0	руб.	hh.ru
33	Python - разработчик	https://orenburg.hh.ru/vacancy/50672961				hh.ru
34	Python разработчик (Django)	https://orenburg.hh.ru/vacancy/51205321				hh.ru
35	Разработчик Python	https://orenburg.hh.ru/vacancy/51630444				hh.ru
36	Senior Python developer (python3.8. + django)	https://orenburg.hh.ru/vacancy/51093436	250000.0	300000.0	руб.	hh.ru
37	Junior аналитик данных	https://orenburg.hh.ru/vacancy/50755681	70000.0	70000.0	руб.	hh.ru
38	Middle Python Backend Developer/ ML Разработчик	https://orenburg.hh.ru/vacancy/51034764		150000.0	руб.	hh.ru
39	Python (Django) Backend developer	https://orenburg.hh.ru/vacancy/49139962		270000.0	руб.	hh.ru
40	Python разработчик (удаленно)	https://orenburg.hh.ru/vacancy/51808577	100000.0	120000.0	руб.	hh.ru
41	Python разработчик (QA)	https://orenburg.hh.ru/vacancy/50995571	70000.0	150000.0	руб.	hh.ru
42	Python Linux developer (remote)	https://orenburg.hh.ru/vacancy/50895660		4000.0	USD	hh.ru
43	Разработчик Python	https://orenburg.hh.ru/vacancy/51805537				hh.ru
44	Аналитик (SQL; Phython)	https://orenburg.hh.ru/vacancy/50872496				hh.ru
45	Младший инженер / Junior QA Automation Engineer (Powershell; Python)	https://orenburg.hh.ru/vacancy/44868124	80000.0	120000.0	руб.	hh.ru
46	Аналитик данных / Data Analyst	https://orenburg.hh.ru/vacancy/51768885		220000.0	руб.	hh.ru
47	Python developer (computer vision backend)	https://orenburg.hh.ru/vacancy/49342079	170000.0	250000.0	руб.	hh.ru
48	Data Analyst	https://orenburg.hh.ru/vacancy/51635508	3500.0	4500.0	EUR	hh.ru
49	Аналитик в IT старт-ап	https://orenburg.hh.ru/vacancy/50738365	120000.0	140000.0	руб.	hh.ru
50	Python Developer (Platform)	https://orenburg.hh.ru/vacancy/51805415				hh.ru
51	Python разработчик	https://orenburg.hh.ru/vacancy/51643257				hh.ru
52	Machine Learning Developer (junior)	https://orenburg.hh.ru/vacancy/51472434				hh.ru
53	Python программист-разработчик	https://orenburg.hh.ru/vacancy/51482724		100000.0	руб.	hh.ru
54	Стажер-разработчик С++	https://orenburg.hh.ru/vacancy/50724529				hh.ru
55	Backend разработчик Python; Flask (Middle+; Удалённо)	https://orenburg.hh.ru/vacancy/50885320	160000.0	250000.0	руб.	hh.ru
56	Программист Python	https://orenburg.hh.ru/vacancy/49488972	50000.0	200000.0	руб.	hh.ru
57	Data Analyst	https://orenburg.hh.ru/vacancy/51635507	3500.0	4500.0	EUR	hh.ru
58	Python-разработчик	https://orenburg.hh.ru/vacancy/51641145	120000.0	150000.0	руб.	hh.ru
59	Junior/Middle Python Developer	https://orenburg.hh.ru/vacancy/51810041				hh.ru
60	Python разработчик (Back-end)	https://orenburg.hh.ru/vacancy/51631948				hh.ru
61	Программист Python	https://orenburg.hh.ru/vacancy/47182741		140000.0	руб.	hh.ru
62	Data Scientist (Junior+/Middle)	https://orenburg.hh.ru/vacancy/48276964				hh.ru
63	Python developer	https://orenburg.hh.ru/vacancy/51815388	2200.0	4200.0	USD	hh.ru
64	Разработчик Python	https://orenburg.hh.ru/vacancy/50610368				hh.ru
65	Junior DevOps Engineer(стажёр)	https://orenburg.hh.ru/vacancy/51645719				hh.ru
66	Python developer (Intern)	https://orenburg.hh.ru/vacancy/50810966				hh.ru
67	DevOps специалист (стажер)	https://orenburg.hh.ru/vacancy/51089755				hh.ru
68	Middle Python developer (в Сочи)	https://orenburg.hh.ru/vacancy/42601947		150000.0	руб.	hh.ru
69	Python разработчик (СберЧат)	https://orenburg.hh.ru/vacancy/51656449				hh.ru
70	Аналитик данных (Data science)	https://orenburg.hh.ru/vacancy/51703352				hh.ru
71	Тестировщик (стажер)	https://orenburg.hh.ru/vacancy/51683067				hh.ru
72	Middle C++ and Python Developer	https://orenburg.hh.ru/vacancy/50560990		220000.0	руб.	hh.ru
73	Разработчик Python	https://orenburg.hh.ru/vacancy/51630412				hh.ru
74	Разработчик Python	https://orenburg.hh.ru/vacancy/50991071				hh.ru
75	Junior Backend разработчик (Python; Django; GraphQL)	https://orenburg.hh.ru/vacancy/51782920	30000.0	50000.0	руб.	hh.ru
76	Разработчик Python	https://orenburg.hh.ru/vacancy/51630433				hh.ru
77	Data Scientist	https://orenburg.hh.ru/vacancy/51368461		5000.0	USD	hh.ru
78	Data Analyst	https://orenburg.hh.ru/vacancy/50630340				hh.ru
79	Full-Stack Python Developer	https://orenburg.hh.ru/vacancy/51809964	5000.0	8000.0	USD	hh.ru
80	Python Developer/Инженер по разработке коробочных решений	https://orenburg.hh.ru/vacancy/49976765	150000.0	250000.0	руб.	hh.ru
81	Data Scientist	https://orenburg.hh.ru/vacancy/51774120	1000.0	3000.0	USD	hh.ru
82	Data Engineer	https://orenburg.hh.ru/vacancy/51195699		210000.0	руб.	hh.ru
83	Backend Python разработчик	https://orenburg.hh.ru/vacancy/49785272				hh.ru
84	Data Scientist	https://orenburg.hh.ru/vacancy/49423067		300000.0	руб.	hh.ru
85	Middle/Senior Backend Разработчик (Python/Django/Flask)	https://orenburg.hh.ru/vacancy/51841444	180000.0	250000.0	руб.	hh.ru
86	Разработчик Python (Middle/Senior)	https://orenburg.hh.ru/vacancy/44936197	120000.0	200000.0	руб.	hh.ru
87	Python (FastApi) Backend developer	https://orenburg.hh.ru/vacancy/51504482		270000.0	руб.	hh.ru
88	Junior Data Scientist (стажер)	https://orenburg.hh.ru/vacancy/50751186				hh.ru
89	Python developer	https://orenburg.hh.ru/vacancy/50860402				hh.ru
90	Программист Python	https://orenburg.hh.ru/vacancy/51811222				hh.ru
91	Data Scientist; Поиск	https://orenburg.hh.ru/vacancy/51804231				hh.ru
92	Data Scientist	https://orenburg.hh.ru/vacancy/51774166	1000.0	3000.0	USD	hh.ru
93	Back-end python программист (удаленно)	https://orenburg.hh.ru/vacancy/45987039		200000.0	руб.	hh.ru
94	Технический директор со знанием Python / CTO (Python)	https://orenburg.hh.ru/vacancy/50795454				hh.ru
95	Python developer	https://orenburg.hh.ru/vacancy/51794406				hh.ru
96	Стажер Data Engineer	https://orenburg.hh.ru/vacancy/51799722				hh.ru
97	ML Engineer	https://orenburg.hh.ru/vacancy/50938985	200000.0	300000.0	руб.	hh.ru
98	Python разработчик	https://orenburg.hh.ru/vacancy/51500885				hh.ru
99	Data Scientist	https://orenburg.hh.ru/vacancy/51774141	1000.0	3000.0	USD	hh.ru
100	Computer Vision Engineer (удаленно)	https://orenburg.hh.ru/vacancy/49956386	140000.0	170000.0	руб.	hh.ru
101	Backend Developer (Python; Django)	https://orenburg.hh.ru/vacancy/50956871	3000.0	4000.0	USD	hh.ru
102	Программист-разработчик	https://orenburg.hh.ru/vacancy/51824520	80000.0	90000.0	руб.	hh.ru
103	Middle Python разработчик	https://orenburg.hh.ru/vacancy/51259683		180000.0	руб.	hh.ru
104	Программист Python	https://orenburg.hh.ru/vacancy/51244879	40000.0	60000.0	руб.	hh.ru
105	Senior Developer (pyhton; django)	https://orenburg.hh.ru/vacancy/51523062		4000.0	USD	hh.ru
